page,number,description,task,code,feedback,hint_1,hint_2,answer_1,answer_2,reset
Motion,2,"In function ""setup()"", we defined the initial value of the x and y position of this object.<br>
*Note: In P5.js, width and height are two pre-defined constant value which represents the width and height of the canvas.",,"  x = width / 2;<br>
  y = height - 10;",,,,,,
Motion,3,"In function ""draw()"", we defined our object - a circle with position x and y and radius 50.",,"fill(100); <br>
ellipse(x, y, 50, 50);",,,,,,
Motion,4,"In our current code segment. We did not change the value of x and y everytime we execute ""draw()"".<br>
However, we can change their value to make the object move!","Please try to modify the y position to make the circle moving up 1 pixel every time the function ""draw()"" is executed.","x = x; <br>
y = y;",,"To move the circle up, you should decrease the value of y until it reaches 0.",y = y - 1;,y=y-1,,
Motion,5,"Now let's try something harder!<br>
We would like to utilize the random function to change the x position of the circle.","Please modify the x position to make the ball moving left and right randomly within -1 and 1 each iteration the function ""draw()"" is executed.","random([min],[max]);",,The random function will generate a random floating-point number between the two parameters.,"x = x + random(-1,1);","x=x+random(-1,1)",,
Interaction,1,"Now, here's the final powerful module that P5.js provides. <br>
First, we pre-defined a circle in the middle of the screen with a diameter of 50.",,"<b style=""color:#265eb7"">var</b> x; <br>
<b style=""color:#265eb7"">var</b> y; <br>
<b style=""color:#265eb7"">var</b> r; <br>
x = width/2; <br>
y = height/2; <br>
r = 50; <br>",,,,,,interaction1
Interaction,2,"This <b>if-statement</b> needs to be modified to achieve interaction - so when we hover the index over the circle, the circle will tickle (moving randomly)",,"if(<b style=""color:#36047c"">false</b>){ <br>
&nbsp;&nbsp;x += random(-1, 1);<br>
&nbsp;&nbsp;y += random(-1, 1);<br>
}",,,,,,
Interaction,3,"P5.js library provides us with the ease to listen to the position of our index. <br>
So we can easily detect if we have hovered the mouse over an object as long as we have<br>
&nbsp&nbsp- the x and y position of an object <br>
&nbsp&nbsp- the x and y position of our index <br>","Please replace the false in the if-statement to <br>
mouseX >= x - r/2 && mouseX <= x + r/2",mouseX <br>,,Just copy and paste the code!,mouseX >= x - r/2 && mouseX <= x + r/2,mouseX>=x-r/2&&mouseX<=x+r/2,,
Interaction,4,"Now, hover your mouse over the circle.<br>
The circle is tickling! However, since we haven't detect the y position, the circle will still tickle even we hover the mouse above or below it. ",Please refine mouseY (the y position of your index) like what we just did for mouseX in the if-statement.,mouseY <br>,,"Since the object is a circle, the detection for mouseY should be exactly the same as for mouseX",mouseY >= y - r/2 && mouseY <= y + r/2,mouseX>=x-r/2&&mouseX<=x+r/2&&mouseY>=y-r/2&&mouseY<=y+r/2,,
Follow,1,"Here's the final toturial. And it is also the most complext part.<br>
For this section, you don't need to fully undersand how each line of code works. However, you need to understand the meaning of each function.",,,,,,,,follow1
Follow,2,"The code in function ""draw()"" calculate the position of the line and the angle that the line should incline.",,"<b style=""color:#265eb7"">function</b>  draw() {<br>
 &nbsp;&nbsp;background(0);<br>
 &nbsp;&nbsp; dx = mouseX - x;<br>
 &nbsp;&nbsp; dy = mouseY - y;<br>
 &nbsp;&nbsp; angle1 = atan2(dy, dx);<br>
 &nbsp;&nbsp; x = mouseX - (cos(angle1) * segLength);<br>
  &nbsp;&nbsp;y = mouseY - (sin(angle1) * segLength);<br>
 &nbsp;&nbsp; segment(x, y, angle1);<br>
}",,,,,,
Follow,3,"The code in function ""segment()"" draws the line. <br>
However, currently, we just keep drawing the line at position (0,0) which doesn't make sense.",,"<b style=""color:#265eb7"">function</b> segment() {<br>
  &nbsp;&nbsp; push();<br>
  &nbsp;&nbsp; line(0, 0, segLength, 0);<br>
  &nbsp;&nbsp; pop();<br>
}<br>",,,,,,
Follow,4,"To move an object, we have two ways to achieve it:<br>
&nbsp;&nbsp; - change the x and y position of the object<br>
&nbsp;&nbsp; - use the ""translate()"" function:
This function specifies an amount to displace objects within the display window. The x parameter specifies left/right translation, the y parameter specifies up/down translation. <br>
Transformations are cumulative and apply to everything that happens after and subsequent calls to the function accumulates the effect. For example, calling translate(50, 0) and then translate(20, 0) is the same as translate(70, 0). <b> *Note: If translate() is called within draw(), the transformation is reset when the loop begins again</b>. This function can be further controlled by using push() and pop().","Please add  translate to function ""segment()"" using the parameters provided.","translate(x, y);",,"translate(x, y);","translate(x, y);","translate(x,y)",,
Follow,5,"Now, the objects can follow our index!<br>
However, we need to utilize the rotation, otherwise the line will only be horizontal!<br>
The function below rotates a shape the amount specified by the angle parameter.","Please add  rotation to function ""segment()"" using the parameters provided.",rotate(angle);,,rotate(a);,rotate(a);,rotate(a),,
Final Test,1,"Congratulations on your completion on all the tutorials!<br>
Now Let's use all we've learned to create a interesting interaction effect!<br>
<a href=""test.html"" target=""_blank"">Click herel</a> to preview the final effects!
","Please use the frame we provided to complete the rest part. <br>
The comments with ""to do"" is the part that you will need to fill in. Make sure you understand the code first before trying to fill in your part.",,,,,,,test
